;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:20/01/2023 at 11:28:46
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE9-ES-C (s/n:835971)  VG2.54 (s/n:547613)
;Channel B:Vega Pyroelectric PE9 (s/n:574745)  VG2.54 (s/n:833869)

;Channel A:Details
;Name:PE9-ES-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:20.0uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0us
;Settings:Threshold:Min

;Channel B:Details
;Name:PE9
;Graph Color:RGB(245,86,16)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:200uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:30uS
;Settings:Threshold:N/A

;Channel A:Statistics
;Min:1.180uJ             
;Max:3.750uJ             
;Average:2.652uJ             
;Std.Dev.:372.0nJ             
;Overrange:0                   
;Total Pulses:12495               

;Channel B:Statistics
;Min:7.500uJ             
;Max:20.10uJ             
;Average:15.22uJ             
;Std.Dev.:1.715uJ             
;Overrange:0                   
;Total Pulses:12550               
;--------------------


;First Pulse Arrived : 20/01/2023 at 11:28:47
  Timestamp   	  Channel A  	  Channel B  	
         0.000	             	  1.600e-05 	
         0.002	  2.750e-06 	             	
         0.019	  2.950e-06 	  1.670e-05 	
         0.039	  2.340e-06 	  1.460e-05 	
         0.061	  2.610e-06 	  1.550e-05 	
         0.079	  2.400e-06 	  1.470e-05 	
         0.100	  2.610e-06 	  1.530e-05 	
         0.120	  2.670e-06 	             	
         0.122	             	  1.550e-05 	
         0.139	  2.140e-06 	  1.330e-05 	
         0.160	  2.960e-06 	             	
         0.162	             	  1.590e-05 	
         0.179	  2.530e-06 	  1.520e-05 	
         0.199	  2.900e-06 	  1.670e-05 	
         0.221	  2.340e-06 	  1.470e-05 	
         0.240	  2.740e-06 	  1.590e-05 	
         0.261	  2.570e-06 	  1.570e-05 	
         0.279	  2.700e-06 	  1.570e-05 	
         0.299	  2.810e-06 	  1.650e-05 	
         0.320	  2.990e-06 	  1.710e-05 	
         0.339	  2.690e-06 	  1.630e-05 	
         0.361	  2.910e-06 	             	
         0.362	             	  1.650e-05 	
         0.379	  2.420e-06 	  1.510e-05 	
         0.399	  3.190e-06 	  1.720e-05 	
         0.419	  2.670e-06 	  1.600e-05 	
         0.440	  2.690e-06 	  1.600e-05 	
         0.461	  1.770e-06 	             	
         0.462	             	  1.200e-05 	
         0.479	  1.940e-06 	  1.140e-05 	
         0.499	  2.960e-06 	  1.540e-05 	
         0.519	  2.270e-06 	  1.400e-05 	
         0.540	  2.710e-06 	  1.540e-05 	
