;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:20/01/2023 at 10:19:42
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE9-ES-C (s/n:835971)  VG2.54 (s/n:547613)
;Channel B:Vega Pyroelectric PE9 (s/n:574745)  VG2.54 (s/n:833869)

;Channel A:Details
;Name:PE9-ES-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:20.0uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0us
;Settings:Threshold:Min

;Channel B:Details
;Name:PE9
;Graph Color:RGB(245,86,16)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:200uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:30uS
;Settings:Threshold:N/A

;Channel A:Statistics
;Min:6.210uJ             
;Max:12.29uJ             
;Average:9.431uJ             
;Std.Dev.:821.9nJ             
;Overrange:0                   
;Total Pulses:12550               

;Channel B:Statistics
;Min:39.80uJ             
;Max:67.50uJ             
;Average:54.72uJ             
;Std.Dev.:3.815uJ             
;Overrange:0                   
;Total Pulses:12550               
;--------------------


;First Pulse Arrived : 20/01/2023 at 10:19:47
  Timestamp   	  Channel A  	  Channel B  	
         0.000	  9.430e-06 	  5.280e-05 	
         0.020	  8.690e-06 	  5.230e-05 	
         0.038	             	  5.440e-05 	
         0.040	  9.610e-06 	             	
         0.058	  8.410e-06 	             	
         0.062	             	  5.130e-05 	
         0.080	  8.140e-06 	  4.880e-05 	
         0.100	  8.470e-06 	  4.980e-05 	
         0.120	  8.210e-06 	             	
         0.121	             	  5.110e-05 	
         0.141	  7.850e-06 	  4.860e-05 	
         0.159	  1.005e-05 	             	
         0.162	             	  5.580e-05 	
         0.180	  1.012e-05 	  5.840e-05 	
         0.200	  8.660e-06 	  5.370e-05 	
         0.220	  9.360e-06 	  5.470e-05 	
         0.240	             	  5.950e-05 	
         0.242	  1.057e-05 	             	
         0.258	  1.005e-05 	             	
         0.260	             	  5.930e-05 	
         0.279	  8.510e-06 	  5.260e-05 	
         0.300	  8.960e-06 	  5.320e-05 	
         0.319	  8.160e-06 	             	
         0.321	             	  4.990e-05 	
         0.341	  8.260e-06 	  4.950e-05 	
         0.359	  8.730e-06 	             	
         0.361	             	  5.120e-05 	
         0.379	  9.300e-06 	  5.420e-05 	
         0.400	  9.570e-06 	  5.520e-05 	
         0.419	  8.790e-06 	             	
         0.421	             	  5.300e-05 	
         0.440	             	  5.110e-05 	
         0.441	  8.720e-06 	             	
         0.458	  9.650e-06 	             	
         0.462	             	  5.560e-05 	
         0.479	  8.360e-06 	  5.130e-05 	
